ESN,Equipment Sys ID,Equipment Type,Equipment Class / Code,Event Type,EV Project ID,EV Equipment Event ID,OFS Event ID,FSP project ID,xxx project id,FSR Number (#),Report Issued Date,Outage Start Date,Outage End Date,PDF Name / path / identifier
298214,SY0067866,Gas Turbine,9FA.03,Hot Gas Path Inspection (HGPI),EVP-503962,EV-115103,10331962,FSP-239430,A-1460482 | C-10331962,,,09-Jun-20,31-07-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/054b2b92-c740-4f8c-8b2b-92c7409f8c6e.pdf
337X552,SY0068394,Generator,324,Hot Gas Path Inspection (HGPI),EVP-503962,EV-115103,10331962,FSP-239430,A-1460482 | C-10331962,,,09-Jun-20,31-07-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/054b2b92-c740-4f8c-8b2b-92c7409f8c6e.pdf
898782,SY0523008,Gas Turbine,9FB.03,On Site Services,EVP-509728,EV-116610,10351887,FSP-296654,A-1619946 | C-10351887,,,28-Sep-20,28-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/06d825d0-940f-4065-9825-d0940fc0652c.pdf
3183Y78MA10AE001,SY1018105,Steam Turbine,SCMX-400,Major Inspection (MI),EVP-504213,EV-111302,10325457,FSP-251718,A-1460684 | C-10325457,,,12-Sep-20,30-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/07be7e3c-64e7-48e9-be7e-3c64e718e907.pdf
3183Y78MA10AE001,SY1018105,Steam Turbine,SCMX-400,Major Inspection (MI),EVP-504213,EV-111303,10325457,FSP-251718,A-1460684 | C-10325457,,,12-Sep-20,26-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/07be7e3c-64e7-48e9-be7e-3c64e718e907.pdf
,SY0912226,Generator,50WT25E-158,Minor Inspection,,,NEX-P-266555 | SP-10346667,,,,05-Apr-21,23-Feb-21,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/07fd2f35-0a8b-4c3c-bd2f-350a8b8c3c45.pdf
890210,SY0527550,Gas Turbine,9E.03,Borescope Inspection (BI),EVP-506907,EV-121081,10345876,FSP-285771,A-1583874 | C-10345876,,,05-Oct-20,15-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/088a4058-715a-4993-8a40-58715a2993a7.pdf
819767,SY0133338,Generator,TA 30-82,B Inspection,EVP-509734,EV-111019,10353808,FSP-296668,C-10353808,,,03-Feb-21,04-03-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/088a7fbf-33bd-481c-8a7f-bf33bd381c02.pdf
155020,SY0084314,Steam Turbine,,Minor Inspection,EVP-510286,EV-117664,10353092,FSP-298064,C-10353092,,,05-Oct-20,28-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/092819a9-1b1c-440f-a819-a91b1ce40f71.pdf
155020,SY0084314,Steam Turbine,,Minor Inspection,EVP-510286,EV-117663,10353092,FSP-298064,C-10353092,,,05-Oct-20,28-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/092819a9-1b1c-440f-a819-a91b1ce40f71.pdf
830884,SY0084074,Generator,,Minor Inspection,EVP-510286,EV-117664,10353092,FSP-298064,C-10353092,,,05-Oct-20,28-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/092819a9-1b1c-440f-a819-a91b1ce40f71.pdf
830884,SY0084074,Generator,,Minor Inspection,EVP-510286,EV-117663,10353092,FSP-298064,C-10353092,,,05-Oct-20,28-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/092819a9-1b1c-440f-a819-a91b1ce40f71.pdf
,SY0020371,Steam Turbine,K-500-166-2,,,,NEX-P-271508 | SP-ES0-007343-0Z1000014,,,,,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/094e8e1e-9afa-44e5-8e8e-1e9afa14e54e.pdf
272002,SY0059391,Gas Turbine,9FA.03,Major Inspection (MI),EVP-503930,EV-106824,10333007,FSP-239137,A-1477550 | C-10333007,,,16-Oct-20,08-03-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/0a1129cb-5588-480d-9129-cb5588d80d42.pdf
,SY0024054,Steam Turbine,18K348,,,,NEX-P-259974 | SP-10349235,,,,,03-May-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/0a280771-55fb-478f-a807-7155fb578fe8.pdf
,SY0158244,Boiler,OTHER,,,,NEX-P-255778 | SP-10347982,,,,,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/0acb218b-479e-476c-8b21-8b479ec76c14.pdf
297405,SY0069907,Gas Turbine,7FA.03,Borescope Inspection (BI),EVP-508397,EV-114713,10348670,FSP-292006,A-1603460 | C-10348670,,,21-10-2020,25-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/0b687f2f-04ec-4020-a87f-2f04ec302079.pdf
297258,SY0070968,Gas Turbine,7FA.04,Digital,EVP-505603,EV-108665,10339012,FSP-278113,A-1559310 | C-10339012,,,22-Oct-20,01-05-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/0be87536-276d-4f50-a875-36276dff50c6.pdf
