ESN,Equipment Sys ID,Equipment Type,Equipment Class / Code,Event Type,EV Project ID,EV Equipment Event ID,OFS Event ID,FSP project ID,xxx project id,FSR Number (#),Report Issued Date,Outage Start Date,Outage End Date,PDF Name / path / identifier
297526,SY0070635,Gas Turbine,71EA,Hot Gas Path Inspection (HGPI),EVP-505611,EV-116990,10339220,FSP-278310,A-1560012 | C-10339220,,,29-Sep-20,30-04-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/273e798a-1823-4992-be79-8a1823299219.pdf
336X893,SY0072343,Generator,7A6,Hot Gas Path Inspection (HGPI),EVP-505611,EV-116991,10339220,FSP-278310,A-1560012 | C-10339220,,,29-Sep-20,27-05-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/273e798a-1823-4992-be79-8a1823299219.pdf
336X893,SY0072343,Generator,7A6,Hot Gas Path Inspection (HGPI),EVP-505611,EV-116990,10339220,FSP-278310,A-1560012 | C-10339220,,,29-Sep-20,30-04-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/273e798a-1823-4992-be79-8a1823299219.pdf
,SY0018525,Steam Turbine,DKY4-6D54,,,,NEX-P-237041 | SP-10338770,,,,,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/274924a0-101b-428a-8924-a0101b328a81.pdf
,SY0010174,Generator,GTD 1725KT,,,,NEX-P-237041 | SP-10338770,,,,,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/274924a0-101b-428a-8924-a0101b328a81.pdf
170X778,SY0020744,Steam Turbine,G3,Major Inspection (MI),,,NEX-P-156747 | SP-ES0-011915,,,,09-Aug-21,01-Mar-21,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/27bed9e1-1749-48c4-bed9-e11749c8c4c3.pdf
809928,SY0058823,Gas Turbine,61B,Minor Inspection,EVP-505779,EV-118744,C-10340292,FSP-279577,A-1564562,,,19-Aug-20,29-08-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/28c5465f-f05e-4859-8546-5ff05e5859e6.pdf
298420,SY0520953,Gas Turbine,9FB.02,Borescope Inspection (BI),EVP-509771,EV-117860,C-10352689,FSP-296765,A-1620554,BI-298420-20201013- R0,,13-Oct-20,14-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/2baa7dff-108c-4e7c-aa7d-ff108c7e7cce.pdf
270T530,SY0108433,Steam Turbine,207D-11,Minor Inspection,EVP-506349,EV-111313,C-10343271,FSP-283721,A-1575998,,,15-Jan-20,31-03-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/2bfc4462-0e28-4e79-bc44-620e28ce7904.pdf
297104,SY0048290,Gas Turbine,7FA.03,Stand Alone Small Upgrade,EVP-508793,EV-110028,C-10349770,FSP-293458,A-1608292,,,13-10-2020,13-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/2ca47ef0-55f3-4d4b-a47e-f055f3fd4b77.pdf
270T516 | 290T516,,,,Minor Inspection,EVP-504150,EV-123082,C-10330565,FSP-249297,A-1360630,,,05-Oct-20,04-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/2e36ccd2-2d5f-474c-b6cc-d22d5f174ce7.pdf
270T516 | 290T516,,,,Minor Inspection,EVP-504150,EV-123083,C-10330565,FSP-249297,A-1360630,,,05-Oct-20,04-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/2e36ccd2-2d5f-474c-b6cc-d22d5f174ce7.pdf
297628 | 337X756,,,,Major Inspection (MI),EVP-504742,EV-121777,C-10332405,FSP-268161,A-1426588,,,06-Oct-20,24-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/2e821ae8-f2d7-4946-821a-e8f2d77946da.pdf
281871 | 335X373,,,,Borescope Inspection (BI),EVP-510296,EV-123378,C-10352963,FSP-298133,A-0199910,,,29-Sep-20,30-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/2e8faeb2-2fb5-4260-8fae-b22fb5126059.pdf
281871 | 335X373,,,,Borescope Inspection (BI),EVP-510296,EV-123377,C-10352963,FSP-298133,A-0199910,,,29-Sep-20,30-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/2e8faeb2-2fb5-4260-8fae-b22fb5126059.pdf
297148,SY0048209,Gas Turbine,6FA.03,Call-Out,EVP-512133,EV-118685,C-10358073,FSP-304586,,,,17-Jan-21,15-02-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/2fbfefce-5d11-4836-bfef-ce5d11b836a2.pdf
SY0047723 & SY0047724,,,,B Inspection,EVP-505146,EV-121112,C-10335492,FSP-272921,,,,30-Sep-20,04-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/30ff0d55-144e-4be3-bf0d-55144edbe3a8.pdf
139836 | 8328338,,,,Minor Inspection,,,SP-10347750,,NEX-P-214889,,,02-Aug-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/31713333-1ee6-4451-b133-331ee6a4519c.pdf
77898,SY1408282,Steam Turbine,SST-300,Minor Inspection,,,SP-10348943,,NEX-P-257588,,,08-Oct-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/319c97df-ca00-4c65-9c97-dfca00ec65c6.pdf
898776,SY0343178,Gas Turbine,9FB.03,Call-Out,EVP-510023,EV-113201,C-10352397,FSP-297468,A-1624360,,,24-Aug-20,08-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/327cd743-f700-477c-bcd7-43f700277c75.pdf
298026,SY0343671,Gas Turbine,7FA.03,Borescope Inspection (BI),EVP-506400,EV-119428,C-10343398,FSP-283884,A-1576892,,,22-Sep-20,11-01-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/32d6004f-d3db-4418-9600-4fd3dbb4180f.pdf
900105,SY0907796,Gas Turbine,9E.03,On Site Services,EVP-511413,EV-119144,C-10356396,FSP-302474,A-0217484,,,08-Dec-20,08-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/3497de71-f754-4640-97de-71f754264014.pdf
298356,SY0094226,Gas Turbine,7FA.03,Major Inspection (MI),EVP-509696,EV-114119,C-10351760,FSP-296576,A-1619572,,,25-Oct-20,13-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/34a591d0-3635-4c7b-a591-d036357c7b2a.pdf
197920,SY0527633,Steam Turbine,SXC,Minor Inspection,EVP-511922,EV-113771,C-10357659,FSP-303912,A-1649586,,,11-01-2021,10-03-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/35dd7ba6-6cde-4a3c-9d7b-a66cde9a3cb2.pdf
297400,SY0070479,Gas Turbine,7FA.03,Call-Out,EVP-507876,EV-118793,C-10347134,FSP-289637,A-1597326,,12-Feb-21,18-04-2020,01-05-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/36647fb2-d169-4d82-a47f-b2d1699d82de.pdf
17872 | 816147,,,,Major Inspection (Rotor Out),EVP-508050,EV-109352,C-10347837,FSP-290516,,,,20-Sep-20,21-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/36e30de7-2311-4e22-a30d-e72311de22a0.pdf
297329,SY0069904,Gas Turbine,7FA.03,Performance Testing,EVP-508398,EV-109493,C-10348671,FSP-292007,A-1603470,,,10-08-2020,21-08-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/37b0bb55-9e76-4bfe-b0bb-559e766bfe14.pdf
298933 | 338X776,,,,Hot Gas Path Inspection (HGPI),EVP-504860,EV-117164,C-10333366,FSP-269696,A-1536614,,,05-Oct-20,21-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/389452ef-33ee-4c35-9452-ef33eedc3594.pdf
298933 | 338X776,,,,Hot Gas Path Inspection (HGPI),EVP-504860,EV-117163,C-10333366,FSP-269696,A-1536614,,,05-Oct-20,21-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/389452ef-33ee-4c35-9452-ef33eedc3594.pdf
298643,SY0342703,Gas Turbine,7FA.03,Digital,EVP-508943,EV-120804,C-10350125,FSP-293956,A-1609784,,,02-Jun-20,10-06-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/38d90cd6-87e4-45e2-990c-d687e415e23d.pdf
270T765,SY0347940,Steam Turbine,109D-10,Minor Inspection,,,C-80050694,,,,,05-Feb-21,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/3bc7bc08-3a9c-404f-87bc-083a9c204fcc.pdf
299401,SY0501096,Gas Turbine,7FA.04,Borescope Inspection (BI),EVP-507251,EV-121459,C-10345424,FSP-287050,A-1588404,,,26-Nov-20,27-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/3c81bf0c-cffd-4acd-81bf-0ccffdbacd5b.pdf
805047,SY0047193,Gas Turbine,GT13E2,A Inspection,EVP-500714,EV-103421,C-10342034,FSP-282141,A-0173845,,,31-01-2021,08-02-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/3e4e322a-55b5-4a5d-8e32-2a55b52a5d9a.pdf
803394,SY0048125,Gas Turbine,GT13,On Site Services,EVP-509025,EV-108998,C-10350293,FSP-294224,,,,06-Oct-20,09-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/3eb08818-1c0a-4e9c-b088-181c0aae9c79.pdf
299422,SY0483777,Gas Turbine,7HA.02,Borescope Inspection (BI),EVP-509765,EV-117895,C-10352141,FSP-296731,A-1620328,,29-Apr-21,26-Mar-21,18-04-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/412778eb-40cc-455c-a778-eb40cc955c2e.pdf
298833 | 338X772,,,,On Site Services,EVP-508246,EV-116602,C-10348351,FSP-291441,A-1601712,,,08-May-20,04-06-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/43cb6d52-653f-4342-8b6d-52653f8342d6.pdf
298026,SY0343671,Gas Turbine,7FA.03,Call-Out,,,,,A-1651166,,,23-Jan-21,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/460c70d0-2ab9-4204-8c70-d02ab98204e4.pdf
298778,SY0528241,Gas Turbine,9FA.03,On Site Services,EVP-511714,EV-117012,C-10357104,FSP-303249,A-1645866,,,06-Jan-21,25-01-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/49201093-70a1-49e8-a010-9370a109e8b7.pdf
EGG0098,SY0048768,Gas Turbine,9E.03,Major Inspection (Rotor Out),EVP-501972,EV-103448,C-10335222,FSP-272267,,,,16-Sep-20,15-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/493e9fd4-b375-44c0-be9f-d4b37594c0c8.pdf
EGG0098,SY0048768,Gas Turbine,9E.03,Major Inspection (Rotor Out),EVP-501972,EV-103447,C-10335222,FSP-272267,,,,16-Sep-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/493e9fd4-b375-44c0-be9f-d4b37594c0c8.pdf
LMZ01493,SY0017239,Steam Turbine,,On Site Services,,,SP-ESO-010812,,NEX-P-280833,,,04-Jan-21,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/4a3627d2-8476-47d5-b627-d2847657d5f2.pdf
811524 | SY0051031,,,,Minor Inspection,,,C-10343386,FSP-283844,,,,08-Nov-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/4d607ce1-dcc4-4fe3-a07c-e1dcc4afe3b6.pdf
170X645,SY0024892,Steam Turbine,G3D,Stand Alone Large Upgrade,,,SP-10342707,,NEX-P-200874,,,05-Oct-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/4d6e2cc6-54e0-434b-ae2c-c654e0234bf3.pdf
297729,SY0071193,Gas Turbine,7FA.03,Borescope Inspection (BI),EVP-505503,EV-107561,C-10344313,FSP-276911,A-1556408,,,21-Oct-20,22-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/4e07a146-0e2f-4b21-87a1-460e2f3b2153.pdf
170X351 | 180X351,,,,Minor Inspection,,,C-10338207,FSP-276975,,,,03-Oct-19,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/4ea590ab-64bc-4d46-a590-ab64bcad4644.pdf
898788,SY0512526,Gas Turbine,9FB.03,Combustion Inspection (CI),EVP-505136,EV-115972,C-10335419,FSP-272831,A-1552444,,,12-10-2020,31-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/514e4164-a8ca-42e1-8e41-64a8ca12e1dc.pdf
SY0315386,,,,A Inspection,EVP-504418,EV-117140,C-10327514,FSP-259022,,,,04-Oct-20,09-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/573bf935-fbce-4586-bbf9-35fbce2586e2.pdf
297917 | 337X196,,,,Minor Inspection,EVP-512068,EV-110899,C-10357938,FSP-304419,A-1651452,,,19-Jan-21,22-01-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/58187d3c-86b4-4130-987d-3c86b411304e.pdf
297623 | 337X768,,,,Hot Gas Path Inspection (HGPI),EVP-504500,EV-116004,C-10330252,FSP-261003,A-1376780,,,10-Oct-20,27-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/5819dae1-2f19-44ae-99da-e12f19e4aedf.pdf
297828,SY0070309,Gas Turbine,7FA.03,Call-Out,EVP-508118,EV-121226,C-10347868,FSP-290768,,,20-Apr-21,12-Apr-21,15-04-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/5be6f7b5-0914-4550-a6f7-b50914f550b7.pdf
296813,SY0065468,Gas Turbine,61B,On Site Services,EVP-506782,EV-123308,C-10344696,FSP-285165,,,,02-10-2020,18-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/5c27e7bd-b25d-47f6-a7e7-bdb25d47f649.pdf
296813,SY0065468,Gas Turbine,61B,On Site Services,EVP-506782,EV-123307,C-10344696,FSP-285165,,,,02-10-2020,18-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/5c27e7bd-b25d-47f6-a7e7-bdb25d47f649.pdf
298939 | 339X216,,,,Major Inspection (MI),EVP-500606,EV-104884,C-10328507,FSP-220810,A-1355312,,,14-Dec-20,06-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/5ca4cf87-6ba6-4954-a4cf-876ba67954c0.pdf
298939 | 339X216,,,,Major Inspection (MI),EVP-500606,EV-104885,C-10328507,FSP-220810,A-1355312,,,14-Dec-20,17-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/5ca4cf87-6ba6-4954-a4cf-876ba67954c0.pdf
297917,SY0095261,Gas Turbine,7FA.03,Stand Alone Small Upgrade,EVP-510935,EV-111719,C-10354909,FSP-300723,A-1636580,,,27-10-2020,04-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/5fb5f7c0-5d19-422b-b5f7-c05d19b22b55.pdf
316X541,SY0530359,Generator,HYDROGEN-CO,Performance Testing,EVP-510775,EV-116764,C-10354437,FSP-300092,,,,04-01-2021,18-01-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/6178daca-cf04-4aa5-b8da-cacf04faa548.pdf
170X504 | 180X504,,,,Minor Inspection,,,SP-10339142,,NEX-P-192808,,,14-Sep-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/651f83c1-07ee-4782-9f83-c107eeb78245.pdf
SY0058831 | SY0058831 HM301310,,,,On Site Services,EVP-509054,EV-118430,C-10350362,FSP-294284,,,,04-Sep-20,25-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/66df8404-1493-4ec1-9f84-0414939ec1f7.pdf
898781,SY0525655,Gas Turbine,9FB.03,Hot Gas Path Inspection (HGPI),EVP-503872,EV-119030,C-10321515,FSP-235776,A-1424598,,24-Jun-21,29-Mar-21,06-05-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/6814da8b-ca69-4bf7-94da-8bca69bbf7f1.pdf
898781,SY0525655,Gas Turbine,9FB.03,Hot Gas Path Inspection (HGPI),EVP-503872,EV-119032,C-10321515,FSP-235776,A-1424598,,24-Jun-21,29-Mar-21,10-05-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/6814da8b-ca69-4bf7-94da-8bca69bbf7f1.pdf
290T873,SY0117054,Generator,330H,Hot Gas Path Inspection (HGPI),EVP-503872,EV-119030,C-10321515,FSP-235776,A-1424598,,24-Jun-21,29-Mar-21,06-05-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/6814da8b-ca69-4bf7-94da-8bca69bbf7f1.pdf
290T873,SY0117054,Generator,330H,Hot Gas Path Inspection (HGPI),EVP-503872,EV-119032,C-10321515,FSP-235776,A-1424598,,24-Jun-21,29-Mar-21,10-05-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/6814da8b-ca69-4bf7-94da-8bca69bbf7f1.pdf
297573,SY0070779,Gas Turbine,7FA.04-200,Large Call-Out,EVP-507547,EV-113560,C-10348457,FSP-288281,A-1592536,,03-May-21,19-Mar-21,30-03-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/682ac5bf-66bd-485b-aac5-bf66bd685b75.pdf
890208,SY1015081,Gas Turbine,9E.03,Major Inspection (MI),EVP-508022,EV-116849,C-10347729,FSP-290337,,,,02-12-2020,08-01-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/6892ff15-2c00-43fc-92ff-152c0083fc67.pdf
197920,SY0527633,Steam Turbine,SXC,On Site Services,EVP-508103,EV-123144,C-10347889,FSP-290684,A-1600168,,,03-Apr-20,23-04-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/68f5a218-3207-4cbc-b5a2-1832077cbcbe.pdf
299471,SY0497485,Gas Turbine,7E.03,Borescope Inspection (BI),EVP-508466,EV-107140,C-10350333,FSP-292247,A-1604212,,,05-Oct-20,09-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/69dd4ef9-2974-4294-9d4e-f92974a29419.pdf
10GG10534,,,,Borescope Inspection (BI),EVP-508466,EV-107140,C-10350333,FSP-292247,A-1604212,,,05-Oct-20,09-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/69dd4ef9-2974-4294-9d4e-f92974a29419.pdf
299320,SY0500800,Gas Turbine,9FA.03,Call-Out,EVP-509219,EV-118003,C-10350734,FSP-294799,A-1613136,,,13-Jul-20,24-07-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/6a1b98cf-bbfe-499e-9b98-cfbbfe699e53.pdf
324X108,SY0499025,Generator,324,Call-Out,EVP-509219,EV-118003,C-10350734,FSP-294799,A-1613136,,,13-Jul-20,24-07-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/6a1b98cf-bbfe-499e-9b98-cfbbfe699e53.pdf
939134,SY0535889,Steam Turbine,DKY2-1N33-HD10L,B Inspection,,,,,NEX-P-247605 | SP-10341797,,,28-Nov-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/6a25b1c1-572f-4582-a5b1-c1572f058231.pdf
,,,,On Site Services,,,,,NEX-P-272063 | SP-EE0-330970,,,03-Dec-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/6a93930f-f026-4437-9393-0ff026f437ff.pdf
297472,SY0071458,Gas Turbine,71EA,Combustion Inspection (CI),EVP-503673,EV-107330,C-10346697,FSP-225427,,,,09-Nov-20,17-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/70a18232-349e-419c-a182-32349ef19c58.pdf
297472,SY0071458,Gas Turbine,71EA,Combustion Inspection (CI),EVP-503673,EV-107329,C-10346697,FSP-225427,,,,09-Nov-20,17-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/70a18232-349e-419c-a182-32349ef19c58.pdf
850214,SY0515411,Gas Turbine,61B,Hot Gas Path Inspection (HGPI),EVP-503952,EV-111271,C-10314724,FSP-239300,A-1460622,,16-Sep-21,30-Aug-21,19-08-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/7233daa3-0201-4e05-b3da-a302019e059d (1).pdf
850214,SY0515411,Gas Turbine,61B,Hot Gas Path Inspection (HGPI),EVP-503952,EV-111272,C-10314724,FSP-239300,A-1460622,,16-Sep-21,30-Aug-21,19-08-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/7233daa3-0201-4e05-b3da-a302019e059d (1).pdf
341X944,SY0506541,Generator,BDAX 7,Hot Gas Path Inspection (HGPI),EVP-503952,EV-111271,C-10314724,FSP-239300,A-1460622,,16-Sep-21,30-Aug-21,19-08-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/7233daa3-0201-4e05-b3da-a302019e059d (1).pdf
341X944,SY0506541,Generator,BDAX 7,Hot Gas Path Inspection (HGPI),EVP-503952,EV-111272,C-10314724,FSP-239300,A-1460622,,16-Sep-21,30-Aug-21,19-08-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/7233daa3-0201-4e05-b3da-a302019e059d (1).pdf
850214,SY0515411,Gas Turbine,61B,Hot Gas Path Inspection (HGPI),EVP-503952,EV-111271,C-10314724,FSP-239300,A-1460622,,16-Sep-21,30-Aug-21,19-08-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/7233daa3-0201-4e05-b3da-a302019e059d.pdf
850214,SY0515411,Gas Turbine,61B,Hot Gas Path Inspection (HGPI),EVP-503952,EV-111272,C-10314724,FSP-239300,A-1460622,,16-Sep-21,30-Aug-21,19-08-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/7233daa3-0201-4e05-b3da-a302019e059d.pdf
341X944,SY0506541,Generator,BDAX 7,Hot Gas Path Inspection (HGPI),EVP-503952,EV-111271,C-10314724,FSP-239300,A-1460622,,16-Sep-21,30-Aug-21,19-08-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/7233daa3-0201-4e05-b3da-a302019e059d.pdf
341X944,SY0506541,Generator,BDAX 7,Hot Gas Path Inspection (HGPI),EVP-503952,EV-111272,C-10314724,FSP-239300,A-1460622,,16-Sep-21,30-Aug-21,19-08-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/7233daa3-0201-4e05-b3da-a302019e059d.pdf
270T762,SY0104487,Steam Turbine,107A-14,Minor Inspection,EVP-503800,EV-112446,C-10311129,FSP-234098,A-1356456,,,12-09-2020,30-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/7523f0ed-4f65-4738-a3f0-ed4f65273858.pdf
290T762,SY0134097,Generator,7FH2,Minor Inspection,EVP-503800,EV-112446,C-10311129,FSP-234098,A-1356456,,,12-09-2020,30-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/7523f0ed-4f65-4738-a3f0-ed4f65273858.pdf
297665,SY0070907,Gas Turbine,7FA.04,Borescope Inspection (BI),EVP-512569,EV-120384,C-10358944,FSP-305721,A-1657496,,,11-Feb-21,12-02-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/7589576a-035c-4f3b-8957-6a035cdf3b6f.pdf
G00325,SY0081475,Gas Turbine,GT13E2,Minor Inspection,EVP-500227,EV-105592,C-10344227,FSP-285222,,,,11-Nov-20,18-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/76297d3f-4b8c-49e8-a97d-3f4b8c99e816.pdf
299459,SY0494190,Gas Turbine,7HA.02,Call-Out,EVP-509524,EV-119075,C-10351447,FSP-295958,,,,05-Oct-20,02-07-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/76b00700-1571-4203-b007-0015717203fe.pdf
299459,SY0494190,Gas Turbine,7HA.02,Call-Out,EVP-509524,EV-119076,C-10351447,FSP-295958,,,,05-Oct-20,02-07-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/76b00700-1571-4203-b007-0015717203fe.pdf
297759,SY0094048,Gas Turbine,7FA.04,Major Inspection (MI),EVP-504151,EV-118647,C-10330559,FSP-249298,A-1360400,,,05-10-2020,22-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/771aadaa-fb3c-41d7-9aad-aafb3cd1d71d.pdf
297759,SY0094048,Gas Turbine,7FA.04,Major Inspection (MI),EVP-504151,EV-118648,C-10330559,FSP-249298,A-1360400,,,05-10-2020,22-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/771aadaa-fb3c-41d7-9aad-aafb3cd1d71d.pdf
338X712,SY0121986,Generator,7FH2,Major Inspection (MI),EVP-504151,EV-118647,C-10330559,FSP-249298,A-1360400,,,05-10-2020,22-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/771aadaa-fb3c-41d7-9aad-aafb3cd1d71d.pdf
